Title,Image Link,Release,Rating,Metacritic,Description,Audience,Directors,Runtime,Genres
Collective,https://www.metacritic.com/a/img/resize/bf1bcdae85e9bbde76ddedc84cfef78369fbb271/catalog/provider/2/2/2-7876828b0cbfccf900bdc8376efe35f9.jpg?auto=webp&fit=cover&height=132&width=88,2020,Rated,95.0,"Collective follows a heroic team of journalists as they uncover shocking, widespread corruption. After a deadly nightclub fire, the mysterious death of the owner of a powerful pharmaceutical firm, and the quiet resignation of a health minister—seemingly unrelated events, all within weeks of each other—the team of intrepid reporters exposes a much larger, much more explosive political scandal. COLLECTIVE is a fast-paced, real-time detective story about truth, accountability, and the value of an independent press in partisan times.",7.6,Alexander Nanau,1 h 49 m,"['Documentary', 'Crime']"
A Separation,https://www.metacritic.com/a/img/resize/a2cd516f022115df8b7b1c90d9722c6c25443553/catalog/provider/2/2/2-f0dd8b59485208bf89c6274652f1a11b.jpg?auto=webp&fit=cover&height=132&width=88,2011,PG-13,95.0,"Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides to stay with Nader. When Nader hires a young woman to assist with his father in his wife's absence, he hopes that his life will return to a normal state. However, when he discovers that the new maid has been lying to him, he realizes that there is more on the line than just his marriage. [Sony Pictures Classic]",8.7,Asghar Farhadi,2 h 3 m,['Drama']
Double Indemnity,https://www.metacritic.com/a/img/resize/4dbc70481dfe9d809942a044193530c78f278a25/catalog/provider/2/2/2-063e93f68ae5239adfbb0cc7ee29f64e.jpg?auto=webp&fit=cover&height=132&width=88,1944,Approved,95.0,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,8.6,Billy Wilder,1 h 47 m,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']"
Sunrise,https://www.metacritic.com/a/img/resize/65172ff47bea362d5da58da337fd01241788c646/catalog/provider/2/2/2-836cbc0ebc7a74596f72dc104616f451.jpg?auto=webp&fit=cover&height=132&width=88,1927,Passed,95.0,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme.",0,Partho Sen-Gupta,1 h 25 m,"['Crime', 'Drama', 'Mystery']"
La Dolce Vita,https://www.metacritic.com/a/img/resize/dc986d5ee21ee5c383998cb3f1f0b7bdbe5bcad5/catalog/provider/2/2/2-22ca40a4a6ad145e6ba860dbc73ce1a5.jpg?auto=webp&fit=cover&height=132&width=88,1961,Rated,95.0,A series of stories following a week in the life of a philandering paparazzo journalist (Marcello Mastroianni) living in Rome.,8.4,Federico Fellini,2 h 54 m,"['Comedy', 'Drama']"
Schindler's List,https://www.metacritic.com/a/img/resize/662493c70cd90b81f610c69eef3401e8af4ce611/catalog/provider/2/2/2-b34602d07fdd76ef0b8c6fa0870d5860.jpg?auto=webp&fit=cover&height=132&width=88,1993,TV-MA,95.0,Steven Spielberg's epic drama tells the compelling true story of German businessman Oskar Schindler (Neeson) who comes to Nazi-occupied Poland looking for economic prosperity and leaves as a savior. (History in Film),8.8,Steven Spielberg,3 h 15 m,"['Biography', 'Drama', 'History']"
WALL-E,https://www.metacritic.com/a/img/resize/2d6454ef8acc62c4b32150898a74c7dd6c01d779/catalog/provider/2/2/2-4edbd70f54caaba2e1896d92332e5523.jpg?auto=webp&fit=cover&height=132&width=88,2008,G,95.0,"After hundreds of lonely years of doing what he was built for, Wall-E discovers a new purpose in life when he meets a sleek search robot named EVE. [Walt Disney Pictures]",8.8,Andrew Stanton,1 h 38 m,"['Animation', 'Adventure', 'Family', 'Sci-Fi']"
Carol,https://www.metacritic.com/a/img/resize/7b3783def087f9b94e7a0391870fc81d08cc8449/catalog/provider/2/2/2-f7316f7e14637d049239318771fdd1a0.jpg?auto=webp&fit=cover&height=132&width=88,2015,R,94.0,"Set in 1950s New York, two women from very different backgrounds find themselves in the throes of love. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) threatens her competence as a mother when Carol’s involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) comes to light. As Carol leaves the comfort of home to travel with Therese, an internal journey of self-discovery coincides with her new sense of space. [TWC]",7.9,Todd Haynes,1 h 58 m,"['Drama', 'Romance']"
Before Midnight,https://www.metacritic.com/a/img/resize/78af1933474ab1cabef0d370e40e4a6b1bd060b3/catalog/provider/2/2/2-98765357862ddef3f36629a1fffc9f4c.jpg?auto=webp&fit=cover&height=132&width=88,2013,R,94.0,"In this follow-up to Before Sunrise and Before Sunset, we meet Jesse and Celine nine years later in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.",8.3,Richard Linklater,1 h 49 m,"['Drama', 'Romance']"
Amazing Grace,https://www.metacritic.com/a/img/resize/c9768aca6700508b5935047cbf28b68056b14c9e/catalog/provider/2/2/2-72fdea2b464698b4d90ddcb2a8fa7acd.jpg?auto=webp&fit=cover&height=132&width=88,2018,G,94.0,"A documentary presenting Aretha Franklin with choir at the New Bethel Baptist Church in Watts, Los Angeles in January 1972.",8.0,Michael Apted,1 h 58 m,"['Biography', 'Drama', 'History', 'Romance']"
Dunkirk,https://www.metacritic.com/a/img/resize/b7fc2bc462e7521f93c8a5ceacd8eb63ea36feae/catalog/provider/2/2/2-5add7a1926af298b321b5359df4d6968.jpg?auto=webp&fit=cover&height=132&width=88,2017,PG-13,94.0,Dunkirk opens as hundreds of thousands of British and Allied troops are surrounded by enemy forces. Trapped on the beach with their backs to the sea they face an impossible situation as the enemy closes in. [Warner Bros.],8.2,Christopher Nolan,1 h 46 m,"['Action', 'Drama', 'History', 'Thriller', 'War']"
The Man Who Shot Liberty Valance,https://www.metacritic.com/a/img/resize/1ea414b8120f0a4817b02583faedac50ab1fb74f/catalog/provider/2/2/2-c3786767db4a9375547f496fe5739416.jpg?auto=webp&fit=cover&height=132&width=88,1962,Approved,94.0,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",8.5,John Ford,2 h 3 m,"['Drama', 'Western']"
The Searchers,https://www.metacritic.com/a/img/resize/a094460fe0c86e222010622c56eeb2ef6d3342cd/catalog/provider/2/2/2-64d572ce1f5b5fa87dace6d1e28d0d24.jpg?auto=webp&fit=cover&height=132&width=88,1956,Approved,94.0,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,7.7,John Ford,1 h 59 m,"['Adventure', 'Drama', 'Western']"
45 Years,https://www.metacritic.com/a/img/resize/6a5bd5bbb7974005d66c3fe569c21e3786ea3145/catalog/provider/2/2/2-7e75f9d82b9daa3efdb74ef6d7d5505f.jpg?auto=webp&fit=cover&height=132&width=88,2015,R,94.0,"There is just one week until Kate Mercer's (Charlotte Rampling) 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband (Tom Courtenay). The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five days later, there may not be a marriage left to celebrate. [IFC Films]",7.3,Andrew Haigh,1 h 35 m,"['Drama', 'Romance']"
Taxi Driver,https://www.metacritic.com/a/img/resize/0463debe50a56c4127374a4febe28200fa6b8fcb/catalog/provider/5/2/5-tt0075314.jpg?auto=webp&fit=cover&height=132&width=88,1976,R,94.0,Scorsese’s 1976 masterpiece is the all-too-real story of a psychotic New York cabby who is driven to violence in an attempt to rescue a teenage prostitute.  [Sony],7.7,Martin Scorsese,1 h 54 m,"['Crime', 'Drama']"
Inside the Yellow Cocoon Shell,https://www.metacritic.com/a/img/resize/d0b4b976f86e4f96b0e4bae1bb172e1c48bc3234/catalog/provider/7/2/7-1702069043.jpg?auto=webp&fit=cover&height=132&width=88,2024,Unrated,94.0,"After a car accident claims the life of his sister-in-law and leaves his 5-year-old nephew an orphan, a thirtysomething man named Thien (Le Phong Vu) leaves Saigon for a trip back to his rural hometown. During his meditative, wandering visit, Thien wrestles with his own agnosticism in the face of others’ religious beliefs, summons memories of his long-disappeared brother, and reconnects with a former girlfriend who now lives as a nun at a Christian church and school.",8.1,Thien An Pham,2 h 59 m,['Drama']
The Servant,https://www.metacritic.com/a/img/resize/4933934df31e7b3062289ca9076aaff7574993bf/catalog/provider/2/2/2-970d14909d7e958a01ffb46eb5395556.jpg?auto=webp&fit=cover&height=132&width=88,1964,Unrated,94.0,The Servant looks at the decaying British class system through the relationship between an aristocrat and his scheming butler.,7.6,Joseph Losey,1 h 56 m,['Drama']
Yi Yi,https://www.metacritic.com/a/img/resize/00c17f0d5243e0a3da95f7bf7b40365e0b32c477/catalog/provider/2/2/2-8a44dd121e4965feedaac219a614514c.jpg?auto=webp&fit=cover&height=132&width=88,2000,Rated,94.0,"This film portrays life through portraits of the individual members of a Taiwanese family, each representing a stage from birth to death.  [WinStar Cinema]",8.5,Edward Yang,2 h 53 m,"['Drama', 'Romance']"
The Manchurian Candidate,https://www.metacritic.com/a/img/resize/fa3e1329cd1241ccd1cff87f89bfae86a5269cd1/catalog/provider/2/2/2-73898531de899dc2995a075e61e77544.jpg?auto=webp&fit=cover&height=132&width=88,1962,Approved,94.0,John Frankenheimer's gripping political thriller about a group of American soldiers who are captured and brainwashed into becoming sleeper agents. (MGM),7.7,Jonathan Demme,2 h 9 m,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
The Irishman,https://www.metacritic.com/a/img/resize/b70d25c08426b43fcd6afffba8cdefb2aefeb9cd/catalog/provider/2/2/2-b022f34b803cf413ed14417873847245.jpg?auto=webp&fit=cover&height=132&width=88,2019,R,94.0,"The Irishman is an epic saga of organized crime in post-war America told through the eyes of World War II veteran Frank Sheeran (Robert De Niro), a hustler and hitman who worked alongside some of the most notorious figures of the 20th Century. Spanning decades, the film chronicles one of the greatest unsolved mysteries in American history, the disappearance of legendary union boss Jimmy Hoffa, and offers a monumental journey through the hidden corridors of organized crime: its inner workings, rivalries and connections to mainstream politics.",8.1,Martin Scorsese,3 h 29 m,"['Biography', 'Crime', 'Drama']"
Grave of the Fireflies (1988),https://www.metacritic.com/a/img/resize/b6bbf71f1b600b2d990588494419fb7f04338d21/catalog/provider/2/2/2-0d7d8049ee437f62fd1c077572c270e7.jpg?auto=webp&fit=cover&height=132&width=88,1989,Rated,94.0,A young boy and his little sister struggle to survive in Japan during World War II.,8.7,Isao Takahata,1 h 29 m,"['Animation', 'Drama', 'War']"
"Crouching Tiger, Hidden Dragon",https://www.metacritic.com/a/img/resize/f3a427e3ad483446ba1afc7488b618f6d32978a4/catalog/provider/2/2/2-32f084c0e68df0c73a8cfb04b8eaa17b.jpg?auto=webp&fit=cover&height=132&width=88,2000,PG-13,94.0,"In 19th century China, a magical sword given by a warrior (Chow Yun-Fat) to his lover (Michelle Yeoh) is stolen and the quest to find it ensues.  The search leads to the House of Yu where the story travels in a different direction with the introduction of a mysterious assassin and another love story.",8.4,Ang Lee,2 h,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
The Wild Child,https://www.metacritic.com/a/img/resize/5d9b99bafa535fa86e2e251c834a8d56a568a12c/catalog/provider/2/2/2-66264b9055d3370840b2b3144441a6f4.jpg?auto=webp&fit=cover&height=132&width=88,1970,G,94.0,"In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.",7.3,François Truffaut,1 h 23 m,"['Biography', 'Drama', 'History']"
Stop Making Sense,https://www.metacritic.com/a/img/resize/a8ecf680e6e92281d46d58b979a9dee113268f13/catalog/provider/5/2/5-tt0088178.jpg?auto=webp&fit=cover&height=132&width=88,1984,PG,94.0,A concert film of the rock band Talking Heads.,8.4,Jonathan Demme,1 h 28 m,"['Documentary', 'Music']"
Shadow of a Doubt,https://www.metacritic.com/a/img/resize/77947dd333b7b945df29c7fff91a4cdde2efb5a2/catalog/provider/2/2/2-8f8bd919778ccafcddd6afc24015116d.jpg?auto=webp&fit=cover&height=132&width=88,1943,Approved,94.0,A young woman discovers her visiting uncle may not be the man he seems to be.,8.1,Alfred Hitchcock,1 h 48 m,"['Film-Noir', 'Thriller']"
Inside Out,https://www.metacritic.com/a/img/resize/54c04aa6b209fdf9bf3aface7457b9bfdfd036fc/catalog/provider/2/2/2-ec41dc3dbeb08defaa20a5ff93a1fc64.jpg?auto=webp&fit=cover&height=132&width=88,2015,PG,94.0,"Growing up can be a bumpy road, and it’s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions: Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith). The emotions live in Headquarters, the control center inside Riley’s mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley’s main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house, and school. [Pixar]",4.7,Artie Mandelberg,1 h 33 m,"['Crime', 'Drama']"
Sideways,https://www.metacritic.com/a/img/resize/cbdb68945b1b2b176b2bf53edcd59a1518cd1592/catalog/provider/2/2/2-2f26665baadde7407330799bf17f4f07.jpg?auto=webp&fit=cover&height=132&width=88,2004,R,94.0,"Two old friends set off on a wine-tasting road trip...only to veer dizzily sideways into a wry, comedic exploration of the crazy vicissitudes of love and friendship, the damnable persistence of loneliness and dreams and the enduring war between Pinot and Cabernet.  [Fox Searchlight Pictures]",7.7,Alexander Payne,2 h 7 m,"['Comedy', 'Drama', 'Romance']"
Sunset Boulevard,https://www.metacritic.com/a/img/resize/bd67356330291861a226e9b43c36721129b74dec/catalog/provider/2/2/2-213d1a9fb56a3f47f49e80f4c46ac9c2.jpg?auto=webp&fit=cover&height=132&width=88,1950,Approved,94.0,Billy Wilder's 1950 classic stars Gloria Swanson as has-been silent film star Norma Desmond.,8.5,Billy Wilder,1 h 50 m,"['Drama', 'Film-Noir']"
The Apartment,https://www.metacritic.com/a/img/resize/10a791f4b8f274565107541069a1d88cb5402dcf/catalog/provider/2/2/2-6a39daac2261daccbefa719646a6c015.jpg?auto=webp&fit=cover&height=132&width=88,1960,Approved,94.0,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.2,Billy Wilder,2 h 5 m,"['Comedy', 'Drama', 'Romance']"
Apocalypse Now,https://www.metacritic.com/a/img/resize/59d44173f462c1d13a92de03d867f9e40617f1a6/catalog/provider/2/2/2-6881a92831f979f968758c9ce18ffcc9.jpg?auto=webp&fit=cover&height=132&width=88,1979,R,94.0,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",8.8,Francis Ford Coppola,2 h 27 m,"['Drama', 'Mystery', 'War']"
The Gunfighter,https://www.metacritic.com/a/img/resize/7ada1efca5847307dedd9a71d813f99aeaf1a3a5/catalog/provider/2/2/2-ea95ad21f9d88deacdb34d823893e5ff.jpg?auto=webp&fit=cover&height=132&width=88,1950,Approved,94.0,"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",7.0,Henry King,1 h 25 m,['Western']
We Were Here,https://www.metacritic.com/a/img/resize/9376e245b84b8010ff8178347441e995bd1181d8/catalog/provider/2/2/2-a1986577c1cdc8527b3fe87736b8013c.jpg?auto=webp&fit=cover&height=132&width=88,2011,Rated,94.0,"We Were Here documents the coming of what was called the “Gay Plague” in the early 1980s. It illuminates the profound personal and community issues raised by the AIDS epidemic as well as the broad political and social upheavals it unleashed.  It offers a cathartic validation for the generation that suffered through, and responded to, the onset of AIDS. It opens a window of understanding to those who have only the vaguest notions of what transpired in those years. It provides insight into what society could, and should, offer its citizens in the way of medical care, social services, and community support. [Red Flag Releasing]",6.7,"David Weissman,

      Bill Weber",1 h 30 m,"['Documentary', 'Biography', 'History', 'News']"
Faces Places,https://www.metacritic.com/a/img/resize/4b0a31d6f2d3cc108bc244a1e8e154d607b72070/catalog/provider/2/2/2-a8261d3d9b74c5e9293e5a5c2238fe02.jpg?auto=webp&fit=cover&height=132&width=88,2017,PG,94.0,"89-year old Agnes Varda, one of the leading figures of the French New Wave, and acclaimed 33 year-old French photographer and muralist JR teamed up to co-direct this enchanting documentary/road movie. Kindred spirits, Varda and JR share a lifelong passion for images and how they are created, displayed and shared. Together they travel around the villages of France in JR’s photo truck meeting locals, learning their stories and producing epic-size portraits of them. The photos are prominently displayed on houses, barns, storefronts and trains revealing the humanity in their subjects, and themselves. Faces Places documents these heart-warming encounters as well as the unlikely, tender friendship they formed along the way. [Cohen Media Group]",6.9,"JR,

      Agnès Varda",1 h 34 m,['Documentary']
Days of Heaven,https://www.metacritic.com/a/img/resize/fe3d3ada130687f47ba98ed0b17853f87e93ff2d/catalog/provider/5/2/5-tt0077405.jpg?auto=webp&fit=cover&height=132&width=88,1978,PG,94.0,"One of the most critically acclaimed films of all time, Days Of Heaven is a moving story about two men who love the same woman. A fugitive from the slums of Chicago, finds himself pitted against a shy, rich Texan for the love of Abby. Writer/director Malick's film is an extraordinary cinematic achievement of sight and sound.  [Paramount Pictures]",8.3,Terrence Malick,1 h 34 m,"['Drama', 'Romance']"
Past Lives,https://www.metacritic.com/a/img/resize/ba29d2ddbe02fc64329261d8d9c02f4b93531758/catalog/provider/2/2/2-893c14d5d71f29a7d31f3261eec83c77.jpg?auto=webp&fit=cover&height=132&width=88,2023,PG-13,94.0,"Nora (Greta Lee) and Hae Sung (Teo Yoo), two deeply connected childhood friends, are wrest apart after Nora’s family emigrates from South Korea. Two decades later, they are reunited in New York for one fateful week as they confront notions of destiny and love, and the choices that make a life.",8.1,Celine Song,1 h 45 m,"['Drama', 'Romance']"
Chimes at Midnight,https://www.metacritic.com/a/img/resize/580a6a1c366a0e28a8fe7e362db06142fb8df5e8/catalog/provider/2/2/2-3ece16ecca9a905ba92dfb0f55444d3e.jpg?auto=webp&fit=cover&height=132&width=88,1967,Rated,94.0,"The career of Shakespeare's Sir John Falstaff (Orson Welles) as a roistering companion to young Prince Hal (Keith Baxter), circa 1400 to 1413.",8.1,Orson Welles,1 h 59 m,"['Comedy', 'Drama', 'History', 'War']"
The Lord of the Rings: The Return of the King,https://www.metacritic.com/a/img/resize/55432e7c1cdcbc89cee87126aa748cfec7c2358a/catalog/provider/2/2/2-4680e9cab5513911a0aed1d6c3b2fe14.jpg?auto=webp&fit=cover&height=132&width=88,2003,PG-13,94.0,"Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men.  The once-great kingdom, watched over by a fading steward, has never been in more desperate need of its king. But can Aragorn (Viggo Mortensen) answer the call of his heritage and become what he was born to be?  In no small measure, the fate of Middle-earth rests on his broad shoulders.  [New Line Cinema]",8.9,Peter Jackson,3 h 21 m,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Call Me by Your Name,https://www.metacritic.com/a/img/resize/b44fcf66249088c1eca15e8a4f131f742ce95f99/catalog/provider/2/2/2-5d55cb02c14d87af4658891e13e3f156.jpg?auto=webp&fit=cover&height=132&width=88,2017,R,94.0,"It’s the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family’s 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio’s sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a charming American scholar working on his doctorate, arrives as the annual summer intern tasked with helping Elio’s father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.",7.9,Luca Guadagnino,2 h 12 m,"['Drama', 'Romance']"
Trenque Lauquen Parte II,https://www.metacritic.com/a/img/resize/e5c086ddf30aa27e6c0fa2cebc30a8aec8727eab/catalog/provider/5/2/5-tt21378970.jpg?auto=webp&fit=cover&height=132&width=88,2023,Unrated,94.0,"The search for a missing woman unspools in two unexpectedly interconnected parts in Laura Citarella's playful new feature. The missing woman is Laura (Laura Paredes), a biologist cataloging plant species in and around the Argentinean city of Trenque Lauquen. The men searching for her: Rafael, her boyfriend, and Ezequiel, a coworker who has come to mean more to her in recent days. But in order to uncover the truth of Laura's disappearance, a profusion of mysteries must be explored. There's the question of love letters hidden in books in the local library, the discovery of a new species of flower, and then there's the mysterious being, rumored to be haunting the lake at the center of town. [Cinema Guild]",0,Laura Citarella,2 h,"['Drama', 'Mystery', 'Thriller']"
Trenque Lauquen Parte I,https://www.metacritic.com/a/img/resize/ed4d0db45a83d6ee21a8e18e474a6817ff3826c5/catalog/provider/2/2/2-b548e1314fd44d16f427a313ab08149a.jpg?auto=webp&fit=cover&height=132&width=88,2023,Unrated,94.0,"The search for a missing woman unspools in two unexpectedly interconnected parts in Laura Citarella's playful new feature. The missing woman is Laura (Laura Paredes), a biologist cataloging plant species in and around the Argentinean city of Trenque Lauquen. The men searching for her: Rafael, her boyfriend, and Ezequiel, a coworker who has come to mean more to her in recent days. But in order to uncover the truth of Laura's disappearance, a profusion of mysteries must be explored. There's the question of love letters hidden in books in the local library, the discovery of a new species of flower, and then there's the mysterious being, rumored to be haunting the lake at the center of town. [Cinema Guild]",0,Laura Citarella,4 h 22 m,"['Drama', 'Mystery', 'Thriller']"
Carlos,https://www.metacritic.com/a/img/resize/de18b7f61188a97eff14a1a6b44151dbb7f39d0a/catalog/provider/2/2/2-14cfd7ce27817f8fed4dbef67013704c.jpg?auto=webp&fit=cover&height=132&width=88,2010,Rated,94.0,"Carlos tells the story of Ilich Ramirez Sanchez who, for two decades, was one of the most wanted terrorists, on the planet. Between 1974 and 1994, he lived several lives under various pseudonyms, weaving his way through the complexities of international politics of the period. [IFC Films]",7.9,Olivier Assayas,5 h 30 m,"['Biography', 'Crime', 'Drama', 'Thriller']"
Marriage Story,https://www.metacritic.com/a/img/resize/3f70b453fb1413d6f5e83ec94dcf800097c217a7/catalog/provider/2/2/2-cb8630158e858e7d564475b509c0f638.jpg?auto=webp&fit=cover&height=132&width=88,2019,R,94.0,An incisive and compassionate portrait of a marriage breaking up and a family staying together.,8.1,Noah Baumbach,2 h 17 m,"['Drama', 'Romance']"
The French Connection,https://www.metacritic.com/a/img/resize/652c631f00d91701f2deaf63fb805c56f0661c48/catalog/provider/2/2/2-5befc9515b10e079e4715c49f21fdec1.jpg?auto=webp&fit=cover&height=132&width=88,1971,R,94.0,"New York narcotics officer ""Popeye"" Doyle and his partner take on an international drug ring shipping heroin into the United States.",8.3,William Friedkin,1 h 44 m,"['Action', 'Crime', 'Drama', 'Thriller']"
Elevator to the Gallows,https://www.metacritic.com/a/img/resize/960b5f546a48c11b4eb2e8ad1e23d016b1a88eca/catalog/provider/2/2/2-6e94a79d587c064b532e892b9fab34c3.jpg?auto=webp&fit=cover&height=132&width=88,1961,Rated,94.0,"(aka Elevator to the Gallows) A re-release of Louis Malle's 1957 masterpiece of suspense and film noir starring Jeanne Moreau, in the role that catapulted her to international stardom. (Rialto Pictures)",8.2,Louis Malle,1 h 31 m,"['Crime', 'Drama', 'Thriller']"
La La Land,https://www.metacritic.com/a/img/resize/7b3fc2d9f2d6891a71e16573c3816392ea55b8fa/catalog/provider/5/2/5-tt3783958.jpg?auto=webp&fit=cover&height=132&width=88,2016,PG-13,94.0,"Mia (Emma Stone), an aspiring actress, serves lattes to movie stars in between auditions, and Sebastian (Ryan Gosling), a dedicated jazz musician, scrapes by playing cocktail piano gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",8.3,Damien Chazelle,2 h 8 m,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']"
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.metacritic.com/a/img/resize/7ac9fae852ab66bc4490df0d29fa8a73bd3af20c/catalog/provider/2/2/2-4eef52ed301279572e20c27e22f6ef8a.jpg?auto=webp&fit=cover&height=132&width=88,1978,Rated,94.0,"A lonely widowed housewife does her daily chores, takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. However, something happens that changes her safe routine.",6.5,Chantal Akerman,3 h 22 m,['Drama']
Petite Maman,https://www.metacritic.com/a/img/resize/d667d2928ddcfd510dc60f1e1edf906a74004642/catalog/provider/2/2/2-0a1a44013f3c6af062694277582b3835.jpg?auto=webp&fit=cover&height=132&width=88,2021,PG,93.0,Nelly has just lost her grandmother and is helping her parents clean out her mother's childhood home. She explores the house and the surrounding woods. One day she meets a girl her same age building a treehouse.,7.7,Céline Sciamma,1 h 13 m,"['Drama', 'Fantasy']"
Lady Bird,https://www.metacritic.com/a/img/resize/a11a86b4f8e59e2365f9f7ca760b4429fa46482f/catalog/provider/2/2/2-9841243654ba35ff57df54de4ae9b18c.jpg?auto=webp&fit=cover&height=132&width=88,2017,R,93.0,"Christine ""Lady Bird"" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American economic landscape, Lady Bird is an affecting look at the relationships that shape us, the beliefs that define us, and the unmatched beauty of a place called home. [A24]",7.6,Greta Gerwig,1 h 34 m,"['Comedy', 'Drama']"
The Magnificent Ambersons,https://www.metacritic.com/a/img/resize/2c29e3adfe05236e6d4bf965e52d5889c27eba67/catalog/provider/2/2/2-9ecb7b1470c44d4a25ee938981c410dd.jpg?auto=webp&fit=cover&height=132&width=88,1942,Approved,93.0,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,7.9,"Orson Welles,

      Fred Fleck,

      Robert Wise",1 h 28 m,"['Drama', 'Romance']"
Rio Bravo,https://www.metacritic.com/a/img/resize/9a6eba85784314bee39c210121658409643b87ba/catalog/provider/2/2/2-98930a4cce4ee1b7c403cf4e60c40b76.jpg?auto=webp&fit=cover&height=132&width=88,1959,Approved,93.0,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",8.3,Howard Hawks,2 h 21 m,"['Drama', 'Western']"
Reversal of Fortune,https://www.metacritic.com/a/img/resize/8aadfd9cdaed344bf435414bd78327a83951ead7/catalog/provider/2/2/2-cf7534b760eb72bb9b981861a5645d97.jpg?auto=webp&fit=cover&height=132&width=88,1990,R,93.0,"Jeremy Irons plays socialite Claus von Bulow, seeking legal exoneration in the most sensational attempted murder scandal of the 1980s. (Warner Bros.)",7.9,Barbet Schroeder,1 h 51 m,"['Biography', 'Drama', 'Mystery']"
Masculine Feminine,https://www.metacritic.com/a/img/resize/9f4ebabdfd23eb5e50e4b37b86f8691108793a64/catalog/provider/2/2/2-50f331238a0dbea6e18968496f8dfda4.jpg?auto=webp&fit=cover&height=132&width=88,1966,Rated,93.0,"Originally released in 1966, Godard's film chronicles the love affair between Paul (Léaud), a young revolutionary enthusiast, and Madeleine (Goya), an aspiring pop singer, in fifteen vignettes set in the kinetic world of Paris.",8.3,Jean-Luc Godard,1 h 50 m,"['Drama', 'Romance']"
