Title,Image Link,Release,Rating,Metacritic,Description,Audience,Directors,Runtime,Genres
Rear Window,https://www.metacritic.com/a/img/resize/d684a092f00c5b2a0cbb30f45bbb4455c29c6165/catalog/provider/2/2/2-5e97d33d56f0568dd7ef759bcf9cf360.jpg?auto=webp&fit=cover&height=132&width=88,1954,Approved,100.0,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,8.7,Alfred Hitchcock,1 h 52 m,"['Mystery', 'Thriller']"
Vertigo,https://www.metacritic.com/a/img/resize/6aaa27f6c00b2e1e4a8e3ef87000e41fafeff14b/catalog/provider/2/2/2-e384f9f78bf9fad12ab0c8a9955200b9.jpg?auto=webp&fit=cover&height=132&width=88,1958,Approved,100.0,"Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. [Universal Pictures]",8.6,Alfred Hitchcock,2 h 8 m,"['Mystery', 'Romance', 'Thriller']"
Notorious,https://www.metacritic.com/a/img/resize/bb5b4c782971c01347385c1305417103c7d4f0ef/catalog/provider/2/2/2-0488aa04afd924c82eaa2b421b54a8e3.jpg?auto=webp&fit=cover&height=132&width=88,1946,Approved,100.0,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,6.2,George Tillman Jr.,2 h 2 m,"['Biography', 'Crime', 'Drama', 'Music']"
Fanny and Alexander (re-release),https://www.metacritic.com/a/img/resize/7a92f52a0d894596594d0d71b85c3e779d8f9a68/catalog/provider/2/2/2-10f706cfc36609b1d0f0bbf120c90028.jpg?auto=webp&fit=cover&height=132&width=88,2004,R,100.0,"Set in Sweden in the early 20th century, this film focuses on the young children of a wealthy, theatrical family.",8.4,Ingmar Bergman,3 h 8 m,['Drama']
Singin' in the Rain,https://www.metacritic.com/a/img/resize/d65d2d66c73304c93a2f43f1eb89dea63da7aa71/catalog/provider/2/2/2-fec6270799b9fadd4196b2d483682df8.jpg?auto=webp&fit=cover&height=132&width=88,1952,Approved,99.0,A silent film production company and cast make a difficult transition to sound.,8.7,"Stanley Donen,

      Gene Kelly",1 h 43 m,"['Comedy', 'Musical', 'Romance']"
Playtime,https://www.metacritic.com/a/img/resize/1a68f9bb72512d9c807db7178bc92ea3622b6847/catalog/provider/2/2/2-55f1363b1592333712f7f73dfed76395.jpg?auto=webp&fit=cover&height=132&width=88,1973,Rated,99.0,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",7.8,Jacques Tati,2 h 35 m,['Comedy']
Touch of Evil,https://www.metacritic.com/a/img/resize/985418950c4aac1ca44bb4a143a9641e6b1cbc75/catalog/provider/5/2/5-tt0052311.jpg?auto=webp&fit=cover&height=132&width=88,1958,Approved,99.0,"This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable supporting cast including Janet Leigh as Heston's inquisitive wife, Akim Tamiroff as a seedy underworld leader, Zsa Zsa Gabor and Marlene Dietrich as an enigmatic gypsy complete this fascinating drama engulfed in haunting cinematography and a magnificently eerie score by Henry Mancini.",8.2,Orson Welles,1 h 35 m,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
Army of Shadows,https://www.metacritic.com/a/img/resize/2c2f56733e2058d378123a19a23ce484b3dda395/catalog/provider/2/2/2-63a7af0544d5c063733dd31147b32fe2.jpg?auto=webp&fit=cover&height=132&width=88,2006,Rated,99.0,"Making its U.S. debut, Jean-Pierre Melville's 1969 Army of Shadows is an intimate epic of the French Resistance in WWII.",7.8,Jean-Pierre Melville,2 h 25 m,"['Drama', 'War']"
City Lights,https://www.metacritic.com/a/img/resize/d29c0efb845c7c98716acdfc8cd4a3959bf26ff9/catalog/provider/2/2/2-5dbe8bb254d5e8fd18533c123c556ed3.jpg?auto=webp&fit=cover&height=132&width=88,1931,G,99.0,The Tramp (Charlie Chaplin) struggles to help a blind flower girl he has fallen in love with.,8.6,Charles Chaplin,1 h 27 m,"['Comedy', 'Drama', 'Romance']"
Moonlight,https://www.metacritic.com/a/img/resize/e6e39a40db538d5f0100e1d09d4c4a0723839d6c/catalog/provider/2/2/2-d8c1e3566ba713bc1a11d8bb54378aa3.jpg?auto=webp&fit=cover&height=132&width=88,2016,R,99.0,"Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",0,Paula van der Oest,1 h 30 m,['Thriller']
